awayTeam,awayScore,homeTeam,homeScore,homeWin
COL,0,TBL,5,True
EDM,1,PHI,2,True
SJS,1,FLA,4,True
SEA,1,NJD,3,True
CGY,1,DET,2,True
VAN,6,NYI,5,False
VGK,5,MIN,1,False
SEA,3,NYR,6,True
TOR,3,CBJ,0,False
ARI,3,CHI,4,True
PIT,6,ANA,3,False
VAN,2,DET,5,True
CGY,7,BUF,2,False
EDM,6,OTT,3,False
NYI,3,MTL,4,True
NSH,2,PHI,1,False
TBL,3,DAL,1,False
WSH,2,BOS,1,False
COL,5,FLA,3,False
CBJ,4,TOR,3,False
NYR,6,CAR,2,False
ARI,5,STL,6,True
NJD,2,MIN,3,True
CHI,1,WPG,4,True
PIT,0,LAK,6,True
EDM,2,MTL,6,True
SEA,4,PHI,3,False
SJS,4,WSH,1,False
ANA,2,VGK,7,True
CGY,3,OTT,4,True
ARI,4,NSH,2,False
FLA,2,MIN,1,False
DET,6,VAN,1,False
BUF,2,LAK,5,True
CAR,3,WSH,2,False
CHI,0,MTL,4,True
NJD,3,CBJ,2,False
OTT,3,NYI,2,False
FLA,2,STL,6,True
SEA,2,WPG,3,True
BOS,3,DAL,2,False
TBL,4,COL,3,False
PIT,3,SJS,1,False
CHI,2,TOR,5,True
TBL,0,ARI,1,True
COL,3,MIN,2,False
DET,5,EDM,4,False
BUF,7,ANA,3,False
NYR,6,VAN,4,False
FLA,6,WSH,3,False
MTL,2,CAR,6,True
WPG,1,CBJ,3,True
BOS,5,NSH,0,False
NJD,2,STL,4,True
DET,5,CGY,2,False
PHI,2,SEA,6,True
SJS,1,VGK,2,True
CHI,4,OTT,3,False
PIT,4,NYI,5,True
DAL,1,MIN,2,True
NYR,5,EDM,4,False
LAK,6,ANA,3,False
COL,4,STL,1,False
FLA,3,NSH,7,True
NYI,2,BOS,6,True
NJD,5,PIT,2,False
CBJ,4,DAL,1,False
MTL,1,TOR,5,True
WSH,1,CAR,4,True
NYR,2,CGY,3,True
PHI,2,VAN,6,True
ARI,5,LAK,6,True
BUF,4,SJS,2,False
DET,2,SEA,4,True
TBL,4,VGK,5,True
NSH,3,MIN,4,True
STL,2,OTT,7,True
EDM,5,COL,6,True
TOR,3,CHI,5,True
WPG,2,NJD,4,True
CBJ,2,ARI,3,True
ANA,3,FLA,4,True
OTT,1,BOS,3,True
PHI,4,CGY,3,False
SEA,0,SJS,4,True
NYI,4,PIT,2,False
WPG,4,NYR,1,False
ANA,1,TBL,6,True
DET,3,WSH,1,False
MTL,5,NJD,2,False
STL,1,CAR,4,True
TOR,6,BUF,3,False
LAK,1,MIN,2,True
VAN,4,NSH,5,True
VGK,2,CHI,3,True
PHI,2,EDM,4,True
WPG,1,NYI,2,True
CHI,4,DAL,3,False
CGY,6,ARI,3,False
ANA,4,WSH,2,False
BUF,6,TBL,5,False
EDM,7,PIT,2,False
LAK,3,NJD,4,True
MIN,2,CBJ,0,False
NYR,1,DET,4,True
VAN,3,STL,2,False
CGY,3,VGK,4,True
BOS,6,SEA,5,False
NSH,6,SJS,2,False
BUF,3,FLA,1,False
MIN,1,TOR,2,True
MTL,5,PHI,2,False
OTT,0,CAR,4,True
LAK,3,NYI,2,False
COL,5,WPG,1,False
EDM,5,CBJ,6,True
NYR,3,WSH,6,True
PIT,3,STL,2,False
ANA,3,CAR,2,False
BOS,3,VAN,1,False
OTT,5,MTL,2,False
PHI,0,NJD,7,True
TBL,3,DET,0,False
CGY,1,COL,4,True
DAL,3,VGK,2,False
CHI,4,SJS,3,False
WSH,4,BUF,7,True
CBJ,2,MIN,3,True
NYI,4,WPG,0,False
LAK,2,NYR,5,True
TBL,3,PIT,7,True
NSH,6,ARI,2,False
TOR,5,SEA,1,False
DET,2,OTT,6,True
BOS,3,EDM,2,False
VAN,5,DAL,4,False
VGK,0,COL,3,True
CHI,2,ANA,4,True
DET,1,OTT,6,True
FLA,4,TBL,1,False
CBJ,5,BUF,3,False
LAK,6,WPG,5,False
NYI,1,MIN,2,True
PIT,3,NSH,1,False
SEA,5,STL,3,False
BOS,4,CGY,3,False
CHI,1,ARI,4,True
MTL,3,SJS,1,False
NYR,3,PHI,2,False
TOR,2,EDM,5,True
ARI,2,DAL,4,True
NJD,7,COL,5,False
CAR,2,VGK,3,True
WSH,3,ANA,2,False
BUF,1,BOS,7,True
NSH,2,FLA,1,False
OTT,5,NYR,3,False
PIT,5,TBL,4,False
SEA,5,DET,4,False
DAL,5,CHI,2,False
TOR,2,CGY,1,False
MIN,2,VAN,1,False
MTL,2,LAK,3,True
STL,6,SJS,3,False
SEA,4,CBJ,2,False
WPG,3,EDM,6,True
CAR,6,ARI,1,False
MTL,2,ANA,3,True
NJD,3,VGK,4,True
TBL,3,BUF,5,True
DET,1,NYI,4,True
NYR,2,BOS,4,True
COL,3,DAL,7,True
PIT,1,FLA,4,True
WSH,8,SJS,3,False
CBJ,2,OTT,5,True
EDM,5,WPG,7,True
TOR,1,VAN,4,True
NSH,3,CHI,1,False
MIN,3,CGY,0,False
